Drug_Pair_CUIs,Interaction_Class
C0771375_C0246415,0
C0771375_C0025033,0
C0025033_C0246415,1
C0025033_C0771375,1
C3818721_C1570906,0
C3853921_C1721377,0
C1721377_C3853921,2
C0025605_C0068333,1
C0068333_C0025605,0
C0025605_C0016295,1
C0025605_C3885487,1
C0016295_C0025605,0
C0016295_C3885487,0
C3885487_C0025605,0
C3885487_C0016295,0
C0025605_C0016383,1
C0016383_C0025605,0
C0025605_C1144149,3
C1144149_C0025605,0
C0009079_C2974289,4
C2974289_C0009079,0
C0144576_C0678133,0
C0144576_C0006463,0
C0678133_C0144576,0
C0678133_C0006463,0
C0006463_C0144576,5
C0006463_C0678133,5
C2935840_C0728747,0
C0028978_C2974289,0
C2974289_C0028978,0
C3818721_C0022625,0
C3818721_C4255812,0
C0022625_C3818721,2
C0022625_C4255812,0
C4255812_C3818721,2
C4255812_C0022625,0
C2935840_C0032952,0
C0020823_C0073372,5
C0073372_C0020823,0
C0015846_C0146224,3
C0146224_C0015846,0
C0123931_C0039871,1
C0039871_C0123931,0
C1506770_C0012091,0
C0012091_C1506770,2
C1135135_C0055891,0
C1122962_C1831796,3
C1831796_C1122962,0
C0144576_C0678133,0
C0144576_C0000618,0
C0144576_C1881785,0
C0678133_C0144576,0
C0678133_C0000618,0
C0678133_C1881785,0
C0000618_C0144576,1
C0000618_C0678133,1
C0000618_C1881785,0
C1881785_C0144576,1
C1881785_C0678133,1
C1881785_C0000618,0
C1506770_C0015133,0
C0015133_C1506770,4
C0033148_C1135132,5
C1135132_C0033148,0
C2935840_C0042670,0
C0765273_C0117996,1
C0117996_C0765273,0
C3853921_C0012010,0
C0012010_C3853921,0
C0246415_C0771375,0
C0246415_C0006463,0
C0771375_C0246415,0
C0771375_C0006463,0
C0006463_C0246415,4
C0006463_C0771375,4
C0018546_C0146224,4
C0146224_C0018546,0
C0246415_C0771375,0
C0246415_C2830183,4
C0771375_C0246415,0
C0771375_C2830183,4
C2830183_C0246415,0
C2830183_C0771375,0
C0009262_C2974289,4
C2974289_C0009262,0
C0000956_C3818721,4
C3818721_C0000956,0
C0008783_C3818721,2
C3818721_C0008783,0
C3818721_C0071097,0
C0765273_C0913246,2
C0913246_C0765273,0
C3467876_C0123931,0
C0123931_C2987648,3
C2987648_C0123931,0
C0008783_C3853921,2
C3853921_C0008783,0
C0246415_C0771375,0
C0246415_C0525079,1
C0246415_C1529660,1
C0771375_C0246415,0
C0771375_C0525079,1
C0771375_C1529660,1
C0525079_C0246415,0
C0525079_C0771375,0
C0525079_C1529660,0
C1529660_C0246415,0
C1529660_C0771375,0
C1529660_C0525079,0
C0146224_C0037982,0
C1506770_C0030883,0
C1506770_C4256112,0
C0030883_C1506770,5
C0030883_C4256112,0
C4256112_C1506770,5
C4256112_C0030883,0
C0025605_C0031982,1
C0031982_C0025605,0
C0246415_C0771375,0
C0246415_C0000618,0
C0246415_C1881785,0
C0771375_C0246415,0
C0771375_C0000618,0
C0771375_C1881785,0
C0000618_C0246415,1
C0000618_C0771375,1
C0000618_C1881785,0
C1881785_C0246415,1
C1881785_C0771375,1
C1881785_C0000618,0
C3818721_C0033399,0
C3853921_C0022625,0
C3853921_C4255812,0
C0022625_C3853921,2
C0022625_C4255812,0
C4255812_C3853921,2
C4255812_C0022625,0
C1506770_C0035179,0
C0035179_C1506770,5
C0025605_C0913469,0
C0054836_C2987648,4
C2987648_C0054836,0
C0144576_C0678133,0
C0144576_C0907349,1
C0678133_C0144576,0
C0678133_C0907349,1
C0907349_C0144576,0
C0907349_C0678133,0
C0043031_C4292380,0
C0043031_C2974289,2
C4292380_C0043031,0
C4292380_C2974289,2
C2974289_C0043031,0
C2974289_C4292380,0
C3818721_C0012010,0
C0012010_C3818721,2
C3853921_C2987648,0
C2987648_C3853921,3
C2987648_C0040165,0
C0034417_C2987648,4
C2987648_C0034417,0
C0073633_C1135132,4
C1135132_C0073633,0
C0074554_C3818721,4
C3818721_C0074554,0
C0025605_C1099259,4
C0025605_C1831731,4
C1099259_C0025605,0
C1099259_C1831731,0
C1831731_C0025605,0
C1831731_C1099259,0
C0040165_C1122962,0
C0061202_C1135135,0
C3818721_C0070166,0
C3818721_C4255919,0
C0070166_C3818721,2
C0070166_C4255919,0
C4255919_C3818721,2
C4255919_C0070166,0
C0025815_C2974289,5
C2974289_C0025815,0
C2974289_C1707080,0
C1707080_C2974289,2
C0007716_C2699162,0
C0007716_C2974289,2
C2699162_C0007716,0
C2699162_C2974289,2
C2974289_C0007716,0
C2974289_C2699162,0
C0015133_C0002026,2
C0002026_C0015133,0
C0765273_C0006463,5
C0006463_C0765273,0
C0246415_C0771375,0
C0246415_C1516119,0
C0771375_C0246415,0
C0771375_C1516119,0
C1516119_C0246415,4
C1516119_C0771375,4
C1122962_C0005308,5
C0005308_C1122962,0
C2987648_C0146224,0
C0146224_C2987648,4
C0025605_C1998098,2
C1998098_C0025605,0
C3467876_C0146224,0
C0146224_C3467876,3
C2935840_C0717758,0
C0030863_C2974289,2
C2974289_C0030863,0
C3467876_C2987648,4
C2987648_C3467876,0
C0246415_C0771375,0
C0246415_C0054034,1
C0246415_C0128608,1
C0771375_C0246415,0
C0771375_C0054034,1
C0771375_C0128608,1
C0054034_C0246415,0
C0054034_C0771375,0
C0054034_C0128608,0
C0128608_C0246415,0
C0128608_C0771375,0
C0128608_C0054034,0
C2974289_C0023992,0
C0248719_C2987648,3
C2987648_C0248719,0
C1122962_C0039663,2
C0039663_C1122962,0
C0541315_C0078257,0
C0078257_C0541315,1
C0144576_C0678133,0
C0144576_C0297960,4
C0678133_C0144576,0
C0678133_C0297960,4
C0297960_C0144576,0
C0297960_C0678133,0
C2987417_C0146224,0
C0146224_C2987417,4
C0039512_C2974289,2
C2974289_C0039512,0
C1122962_C0041014,0
C0030883_C4256112,0
C0030883_C0123931,5
C4256112_C0030883,0
C4256112_C0123931,5
C0123931_C0030883,0
C0123931_C4256112,0
C0025605_C1700874,4
C1700874_C0025605,0
C0073633_C0045093,4
C0045093_C0073633,0
C0140575_C0015133,5
C0015133_C0140575,0
C3818721_C0289313,0
C0011777_C2987648,3
C2987648_C0011777,0
C0072980_C2987648,4
C2987648_C0072980,0
C2986924_C2987648,0
C2987648_C2986924,3
C0040845_C2974289,2
C2974289_C0040845,0
C3818721_C0085149,0
C3818721_C0771204,0
C0085149_C3818721,4
C0085149_C0771204,0
C0771204_C3818721,4
C0771204_C0085149,0
C2930789_C2987648,0
C2987648_C2930789,4
C3853921_C0085149,0
C3853921_C0771204,0
C0085149_C3853921,2
C0085149_C0771204,0
C0771204_C3853921,2
C0771204_C0085149,0
C0144576_C0678133,0
C0144576_C0025033,0
C0678133_C0144576,0
C0678133_C0025033,0
C0025033_C0144576,1
C0025033_C0678133,1
C3818721_C0010934,0
C0010934_C3818721,4
C0009014_C4256018,0
C0009014_C2974289,2
C4256018_C0009014,0
C4256018_C2974289,2
C2974289_C0009014,0
C2974289_C4256018,0
C0140575_C0123931,5
C0123931_C0140575,0
C0378482_C0650237,0
C0378482_C2974289,0
C0650237_C0378482,0
C0650237_C2974289,0
C2974289_C0378482,0
C2974289_C0650237,0
C0042291_C0080356,0
C0042291_C3818721,4
C0080356_C0042291,0
C0080356_C3818721,4
C3818721_C0042291,0
C3818721_C0080356,0
C3818721_C0014912,0
C0014912_C3818721,2
C0060501_C1646276,0
C0060501_C0765273,1
C1646276_C0060501,0
C1646276_C0765273,1
C0765273_C0060501,0
C0765273_C1646276,0
C3818721_C0286651,0
C0286651_C3818721,2
C1122962_C0528023,3
C0528023_C1122962,0
C0765273_C0033228,5
C0033228_C0765273,0
C3818721_C2935436,0
C3818721_C3643461,0
C2935436_C3818721,2
C2935436_C3643461,0
C3643461_C3818721,2
C3643461_C2935436,0
C1506770_C1516119,0
C1516119_C1506770,2
C0020823_C0031406,0
C0052796_C3818721,2
C3818721_C0052796,0
C3853921_C0010934,0
C0010934_C3853921,3
C0038432_C0123931,1
C0123931_C0038432,0
C0012373_C0078257,2
C0078257_C0012373,0
C0765273_C2349941,5
C2349941_C0765273,0
C0765273_C0025688,2
C0025688_C0765273,0
C1122962_C0033399,2
C0033399_C1122962,0
C1506770_C0053336,2
C0053336_C1506770,0
C3853921_C2935436,0
C3853921_C3643461,0
C2935436_C3853921,0
C2935436_C3643461,0
C3643461_C3853921,0
C3643461_C2935436,0
C3818721_C2987648,0
C2987648_C3818721,4
C0061008_C2700233,0
C0061008_C2935840,0
C2700233_C0061008,0
C2700233_C2935840,0
C2935840_C0061008,0
C2935840_C2700233,0
C0765273_C0015772,2
C0015772_C0765273,0
C0027358_C3853921,0
C3853921_C0027358,0
C1506770_C1955822,2
C1955822_C1506770,0
C0123931_C1707080,2
C1707080_C0123931,0
C2980094_C0146224,0
C0146224_C2980094,4
C0525005_C2987648,3
C2987648_C0525005,0
C0078257_C2347624,1
C2347624_C0078257,0
C0008838_C0071126,1
C0008838_C0950476,1
C0071126_C0008838,0
C0071126_C0950476,0
C0950476_C0008838,0
C0950476_C0071126,0
C0025677_C0078840,4
C0078840_C0025677,0
C3467876_C0078257,0
C0002475_C0702049,0
C0002475_C0702050,0
C0002475_C0123931,1
C0702049_C0002475,0
C0702049_C0702050,0
C0702049_C0123931,1
C0702050_C0002475,0
C0702050_C0702049,0
C0702050_C0123931,1
C0123931_C0002475,0
C0123931_C0702049,0
C0123931_C0702050,0
C0531264_C0025677,0
C0025677_C0531264,4
C0972314_C2974289,4
C2974289_C0972314,0
C0246415_C0771375,0
C0246415_C0008163,0
C0246415_C1516481,0
C0771375_C0246415,0
C0771375_C0008163,0
C0771375_C1516481,0
C0008163_C0246415,1
C0008163_C0771375,1
C0008163_C1516481,0
C1516481_C0246415,1
C1516481_C0771375,1
C1516481_C0008163,0
C0123931_C1609165,5
C1609165_C0123931,0
C1718383_C0146224,0
C0146224_C1718383,1
C0123931_C0010934,1
C0010934_C0123931,0
C0033308_C1451497,0
C0033308_C1515388,0
C0033308_C4256086,0
C0033308_C4256087,0
C0033308_C2987648,3
C1451497_C0033308,0
C1451497_C1515388,0
C1451497_C4256086,0
C1451497_C4256087,0
C1451497_C2987648,3
C1515388_C0033308,0
C1515388_C1451497,0
C1515388_C4256086,0
C1515388_C4256087,0
C1515388_C2987648,3
C4256086_C0033308,0
C4256086_C1451497,0
C4256086_C1515388,0
C4256086_C4256087,0
C4256086_C2987648,3
C4256087_C0033308,0
C4256087_C1451497,0
C4256087_C1515388,0
C4256087_C4256086,0
C4256087_C2987648,3
C2987648_C0033308,0
C2987648_C1451497,0
C2987648_C1515388,0
C2987648_C4256086,0
C2987648_C4256087,0
C3818721_C0031923,0
C0031923_C3818721,0
C0073633_C0008838,4
C0008838_C0073633,0
C0246415_C0771375,0
C0246415_C0033209,0
C0771375_C0246415,0
C0771375_C0033209,0
C0033209_C0246415,5
C0033209_C0771375,5
C1506770_C0140575,0
C0140575_C1506770,5
C0025605_C0039705,1
C0039705_C0025605,0
C0038432_C0015133,1
C0015133_C0038432,0
C2935840_C0935989,0
C0246415_C0771375,0
C0246415_C0298067,1
C0771375_C0246415,0
C0771375_C0298067,1
C0298067_C0246415,0
C0298067_C0771375,0
C0014806_C0600214,0
C0014806_C0078257,4
C0600214_C0014806,0
C0600214_C0078257,4
C0078257_C0014806,0
C0078257_C0600214,0
C0027358_C3818721,0
C3818721_C0027358,0
C1831905_C0146224,0
C0146224_C1831905,3
C0042682_C0012373,2
C0012373_C0042682,0
C1176308_C0146224,0
C0146224_C1176308,4
C0015020_C3537278,0
C0015020_C0257343,0
C3537278_C0015020,0
C3537278_C0257343,0
C0257343_C0015020,1
C0257343_C3537278,1
C0144576_C0678133,0
C0144576_C0026933,0
C0144576_C0883242,0
C0678133_C0144576,0
C0678133_C0026933,0
C0678133_C0883242,0
C0026933_C0144576,1
C0026933_C0678133,1
C0026933_C0883242,0
C0883242_C0144576,1
C0883242_C0678133,1
C0883242_C0026933,0
C0246415_C0771375,0
C0246415_C0140575,0
C0771375_C0246415,0
C0771375_C0140575,0
C0140575_C0246415,5
C0140575_C0771375,5
C2974289_C0146224,0
C0146224_C2974289,4
C2935840_C0054201,0
C0042682_C1099414,1
C1099414_C0042682,0
C0073633_C1135135,4
C1135135_C0073633,0
C0144576_C0678133,0
C0144576_C0033209,0
C0678133_C0144576,0
C0678133_C0033209,0
C0033209_C0144576,5
C0033209_C0678133,5
C0025605_C1831796,4
C1831796_C0025605,0
C2830183_C0281603,0
C0281603_C2830183,0
C0246415_C0771375,0
C0246415_C0214192,2
C0771375_C0246415,0
C0771375_C0214192,2
C0214192_C0246415,0
C0214192_C0771375,0
C1135135_C0025153,0
C2935840_C0879399,0
C0246415_C0771375,0
C0246415_C0026933,0
C0246415_C0883242,0
C0771375_C0246415,0
C0771375_C0026933,0
C0771375_C0883242,0
C0026933_C0246415,1
C0026933_C0771375,1
C0026933_C0883242,0
C0883242_C0246415,1
C0883242_C0771375,1
C0883242_C0026933,0
C0078847_C2974289,2
C2974289_C0078847,0
C0040207_C3818721,0
C3818721_C0040207,0
C0144576_C0678133,0
C0144576_C0140575,0
C0678133_C0144576,0
C0678133_C0140575,0
C0140575_C0144576,5
C0140575_C0678133,5
C2974289_C0023660,0
C0296800_C0379247,0
C0296800_C2974289,4
C0379247_C0296800,0
C0379247_C2974289,4
C2974289_C0296800,0
C2974289_C0379247,0
C0674428_C3818721,2
C3818721_C0674428,0
C0042682_C0030883,5
C0042682_C4256112,5
C0030883_C0042682,0
C0030883_C4256112,0
C4256112_C0042682,0
C4256112_C0030883,0
C0765273_C0052429,2
C0052429_C0765273,0
C2930490_C0056855,0
C0056855_C2930490,5
C0052796_C0123931,2
C0123931_C0052796,0
C2935840_C0663182,0
C1506770_C0002600,0
C0002600_C1506770,2
C1506770_C0055856,0
C1506770_C0620902,0
C0055856_C1506770,2
C0055856_C0620902,0
C0620902_C1506770,2
C0620902_C0055856,0
C0210657_C0063041,1
C0063041_C0210657,0
C0042523_C1135132,2
C1135132_C0042523,0
C1176306_C2974289,2
C2974289_C1176306,0
C0016875_C0369246,0
C0016875_C4255637,0
C0016875_C0123931,0
C0369246_C0016875,0
C0369246_C4255637,0
C0369246_C0123931,0
C4255637_C0016875,0
C4255637_C0369246,0
C4255637_C0123931,0
C0123931_C0016875,2
C0123931_C0369246,2
C0123931_C4255637,2
C0012203_C2987648,3
C2987648_C0012203,0
C0032950_C2974289,5
C2974289_C0032950,0
C0144576_C0678133,0
C0144576_C0008163,0
C0144576_C1516481,0
C0678133_C0144576,0
C0678133_C0008163,0
C0678133_C1516481,0
C0008163_C0144576,1
C0008163_C0678133,1
C0008163_C1516481,0
C1516481_C0144576,1
C1516481_C0678133,1
C1516481_C0008163,0
C0073372_C2974289,5
C2974289_C0073372,0
C0026256_C2974289,5
C2974289_C0026256,0
C0123931_C0013089,4
C0123931_C0546861,4
C0013089_C0123931,0
C0013089_C0546861,0
C0546861_C0123931,0
C0546861_C0013089,0
C0014806_C0600214,0
C0014806_C0025605,4
C0600214_C0014806,0
C0600214_C0025605,4
C0025605_C0014806,0
C0025605_C0600214,0
C3273711_C2974289,0
C2974289_C3273711,2
C1506770_C0026056,0
C0026056_C1506770,4
C3496793_C0146224,0
C0146224_C3496793,4
C0210657_C2830183,1
C2830183_C0210657,0
C0078257_C2987417,2
C2987417_C0078257,0
C0016277_C0699601,0
C0016277_C4082694,0
C0016277_C0025677,2
C0699601_C0016277,0
C0699601_C4082694,0
C0699601_C0025677,2
C4082694_C0016277,0
C4082694_C0699601,0
C4082694_C0025677,2
C0025677_C0016277,0
C0025677_C0699601,0
C0025677_C4082694,0
C3818721_C0031463,0
C0031463_C3818721,5
C0012258_C3818721,2
C3818721_C0012258,0
C2935840_C0023972,0
C1456409_C1135135,0
C1506770_C0039286,0
C1506770_C4255970,0
C0039286_C1506770,2
C0039286_C4255970,0
C4255970_C1506770,2
C4255970_C0039286,0
C0014806_C0600214,0
C0014806_C0042682,4
C0600214_C0014806,0
C0600214_C0042682,4
C0042682_C0014806,0
C0042682_C0600214,0
C0246415_C0771375,0
C0246415_C2349941,5
C0771375_C0246415,0
C0771375_C2349941,5
C2349941_C0246415,0
C2349941_C0771375,0
C0765273_C0915142,2
C0915142_C0765273,0
C1506770_C3273711,2
C3273711_C1506770,0
C0085542_C2974289,4
C2974289_C0085542,0
C0025677_C0025153,0
C0012091_C0123931,2
C0123931_C0012091,0
C0015020_C3537278,0
C0015020_C0003596,0
C3537278_C0015020,0
C3537278_C0003596,0
C0003596_C0015020,1
C0003596_C3537278,1
C1506770_C1619629,2
C1619629_C1506770,0
C0056391_C1135150,0
C1135150_C0056391,0
C2935840_C0056391,0
C2935840_C1135150,0
C3818721_C0059865,0
C0059865_C3818721,2
C3818721_C0050393,0
C2974289_C1456409,0
C1456409_C2974289,5
C0144576_C0678133,0
C0144576_C3886731,5
C0678133_C0144576,0
C0678133_C3886731,5
C3886731_C0144576,0
C3886731_C0678133,0
C0144576_C0678133,0
C0144576_C0038432,0
C0678133_C0144576,0
C0678133_C0038432,0
C0038432_C0144576,1
C0038432_C0678133,1
C0052585_C0015133,0
C0015133_C0052585,0
C0055729_C3818721,2
C3818721_C0055729,0
C0020823_C1506770,2
C1506770_C0020823,0
C1455147_C2699562,0
C1455147_C1506770,4
C2699562_C1455147,0
C2699562_C1506770,4
C1506770_C1455147,0
C1506770_C2699562,0
C0071304_C0078257,2
C0078257_C0071304,0
C0068485_C3818721,2
C3818721_C0068485,0
C2935840_C0393022,0
C0292818_C1135132,4
C1135132_C0292818,0
C0001911_C4082528,0
C0001911_C4082752,0
C0001911_C0123931,2
C4082528_C0001911,0
C4082528_C4082752,0
C4082528_C0123931,2
C4082752_C0001911,0
C4082752_C4082528,0
C4082752_C0123931,2
C0123931_C0001911,0
C0123931_C4082528,0
C0123931_C4082752,0
C0073372_C0015133,0
C0015133_C0073372,5
C0144576_C0678133,0
C0144576_C0069717,0
C0678133_C0144576,0
C0678133_C0069717,0
C0069717_C0144576,1
C0069717_C0678133,1
C0015133_C0162680,4
C0015133_C1337333,4
C0162680_C0015133,0
C0162680_C1337333,0
C1337333_C0015133,0
C1337333_C0162680,0
C0045093_C1456409,0
C1456409_C0045093,0
C1707080_C0146224,0
C0146224_C1707080,4
C0031507_C1135132,5
C1135132_C0031507,0
C0042679_C2974289,2
C2974289_C0042679,0
C0014277_C0594647,0
C0014277_C4256131,0
C0014277_C0025605,1
C0594647_C0014277,0
C0594647_C4256131,0
C0594647_C0025605,1
C4256131_C0014277,0
C4256131_C0594647,0
C4256131_C0025605,1
C0025605_C0014277,0
C0025605_C0594647,0
C0025605_C4256131,0
C0246415_C0771375,0
C0246415_C0038432,0
C0771375_C0246415,0
C0771375_C0038432,0
C0038432_C0246415,1
C0038432_C0771375,1
C0246415_C0771375,0
C0246415_C0014582,0
C0771375_C0246415,0
C0771375_C0014582,0
C0014582_C0246415,1
C0014582_C0771375,1
C0001911_C4082528,0
C0001911_C4082752,0
C0001911_C0015133,5
C4082528_C0001911,0
C4082528_C4082752,0
C4082528_C0015133,5
C4082752_C0001911,0
C4082752_C4082528,0
C4082752_C0015133,5
C0015133_C0001911,0
C0015133_C4082528,0
C0015133_C4082752,0
C2930490_C0023660,0
C0246415_C0771375,0
C0246415_C0002026,0
C0771375_C0246415,0
C0771375_C0002026,0
C0002026_C0246415,2
C0002026_C0771375,2
C3818721_C0036079,0
C0036079_C3818721,2
C0107994_C2974289,2
C2974289_C0107994,0
C0025605_C0010620,1
C0010620_C0025605,0
C0038742_C2974289,5
C2974289_C0038742,0
C0025605_C0033229,1
C0025605_C4256066,1
C0033229_C0025605,0
C0033229_C4256066,0
C4256066_C0025605,0
C4256066_C0033229,0
C0042670_C0146224,1
C0146224_C0042670,0
C0144576_C0678133,0
C0144576_C0014582,0
C0678133_C0144576,0
C0678133_C0014582,0
C0014582_C0144576,1
C0014582_C0678133,1
C0765273_C0001911,5
C0765273_C4082528,5
C0765273_C4082752,5
C0001911_C0765273,0
C0001911_C4082528,0
C0001911_C4082752,0
C4082528_C0765273,0
C4082528_C0001911,0
C4082528_C4082752,0
C4082752_C0765273,0
C4082752_C0001911,0
C4082752_C4082528,0
C0935989_C1135132,4
C1135132_C0935989,0
C0008838_C2987417,1
C2987417_C0008838,0
C2935840_C0033223,0
C0025605_C0033399,1
C0033399_C0025605,0
C2930490_C3192263,4
C3192263_C2930490,0
C1506770_C0288792,0
C0288792_C1506770,2
C0025605_C0078839,1
C0078839_C0025605,0
C0025605_C0596004,1
C0596004_C0025605,0
C1718383_C2930490,0
C3818721_C0020740,0
C0020740_C3818721,2
C1176309_C1135135,4
C1135135_C1176309,0
C0015020_C3537278,0
C0015020_C0113293,0
C3537278_C0015020,0
C3537278_C0113293,0
C0113293_C0015020,1
C0113293_C3537278,1
C0246415_C0771375,0
C0246415_C1142934,1
C0771375_C0246415,0
C0771375_C1142934,1
C1142934_C0246415,0
C1142934_C0771375,0
C0171023_C0078257,2
C0078257_C0171023,0
C0022625_C4255812,0
C0022625_C0146224,4
C4255812_C0022625,0
C4255812_C0146224,4
C0146224_C0022625,0
C0146224_C4255812,0
C0016277_C0699601,0
C0016277_C4082694,0
C0016277_C0146224,4
C0699601_C0016277,0
C0699601_C4082694,0
C0699601_C0146224,4
C4082694_C0016277,0
C4082694_C0699601,0
C4082694_C0146224,4
C0146224_C0016277,0
C0146224_C0699601,0
C0146224_C4082694,0
C0075632_C0146224,3
C0146224_C0075632,0
C0034403_C2974289,2
C2974289_C0034403,0
C0065180_C0025605,0
C0071304_C0042682,2
C0042682_C0071304,0
C0011015_C0146224,1
C0146224_C0011015,0
C0025605_C0005308,5
C0005308_C0025605,0
C0025605_C0041041,3
C0041041_C0025605,0
C1999375_C2974289,4
C2974289_C1999375,0
C0252643_C2825457,0
C0252643_C2974289,5
C2825457_C0252643,0
C2825457_C2974289,5
C2974289_C0252643,0
C2974289_C2825457,0
C0034414_C4255874,0
C0034414_C4255875,0
C0034414_C1135174,0
C4255874_C0034414,0
C4255874_C4255875,0
C4255874_C1135174,0
C4255875_C0034414,0
C4255875_C4255874,0
C4255875_C1135174,0
C1135174_C0034414,0
C1135174_C4255874,0
C1135174_C4255875,0
C0025643_C0078257,0
C0078257_C0025643,0
C0011701_C0701195,0
C0011701_C1698364,0
C0701195_C0011701,0
C0701195_C1698364,0
C1698364_C0011701,0
C1698364_C0701195,0
C0011701_C0701195,0
C0011701_C1135132,0
C0701195_C0011701,0
C0701195_C1135132,0
C1135132_C0011701,0
C1135132_C0701195,0
C1135132_C0012582,0
C0012582_C1698364,0
C1698364_C0012582,0
C0209738_C2352806,0
C2352806_C0209738,0
C0031392_C1142934,0
C1142934_C0031392,0
C0028193_C1135135,0
C1135135_C0028193,0
C0093999_C0039542,0
C0093999_C0039543,0
C0039542_C0093999,3
C0039542_C0039543,0
C0039543_C0093999,3
C0039543_C0039542,0
C1831919_C0079594,0
C0079594_C1831919,0
C0078049_C1372952,0
C0078049_C1698364,0
C1372952_C0078049,0
C1372952_C1698364,0
C1698364_C0078049,0
C1698364_C1372952,0
C0015020_C3537278,0
C0015020_C0025042,0
C0015020_C1289957,0
C3537278_C0015020,0
C3537278_C0025042,0
C3537278_C1289957,0
C0025042_C0015020,0
C0025042_C3537278,0
C0025042_C1289957,0
C1289957_C0015020,0
C1289957_C3537278,0
C1289957_C0025042,0
C0388976_C1311070,0
C0388976_C1135174,0
C1311070_C0388976,0
C1311070_C1135174,0
C1135174_C0388976,0
C1135174_C1311070,0
C0042291_C0080356,0
C0042291_C1741817,0
C0080356_C0042291,0
C0080356_C1741817,0
C1741817_C0042291,0
C1741817_C0080356,0
C0972314_C0078257,0
C0078257_C0972314,4
C0030557_C0078257,0
C0078257_C0030557,0
C0376160_C0078257,0
C0078257_C0376160,2
C0079459_C0210630,0
C0079459_C3542463,0
C0079459_C3892863,0
C0079459_C3853921,0
C0210630_C0079459,0
C0210630_C3542463,0
C0210630_C3892863,0
C0210630_C3853921,0
C3542463_C0079459,0
C3542463_C0210630,0
C3542463_C3892863,0
C3542463_C3853921,0
C3892863_C0079459,0
C3892863_C0210630,0
C3892863_C3542463,0
C3892863_C3853921,0
C3853921_C0079459,0
C3853921_C0210630,0
C3853921_C3542463,0
C3853921_C3892863,0
C0093999_C0028128,0
C0028128_C0093999,3
C1831919_C0033216,0
C0033216_C1831919,0
C0071126_C0950476,0
C0071126_C1698364,0
C0950476_C0071126,0
C0950476_C1698364,0
C1698364_C0071126,0
C1698364_C0950476,0
C0001143_C1698364,0
C1698364_C0001143,0
C0028005_C0919273,0
C0919273_C0028005,0
C0762659_C2742502,0
C2742502_C0762659,0
C0018546_C0532362,0
C0532362_C0018546,0
C1142934_C0022625,0
C1142934_C4255812,0
C0022625_C1142934,0
C0022625_C4255812,0
C4255812_C1142934,0
C4255812_C0022625,0
C0532362_C0877874,0
C0877874_C0532362,0
C0042682_C0071126,1
C0042682_C0950476,1
C0071126_C0042682,0
C0071126_C0950476,0
C0950476_C0042682,0
C0950476_C0071126,0
C0076836_C1135132,4
C1135132_C0076836,0
C0042682_C0001143,0
C0001143_C0042682,0
C0015020_C3537278,0
C0015020_C0039542,0
C0015020_C0039543,0
C3537278_C0015020,0
C3537278_C0039542,0
C3537278_C0039543,0
C0039542_C0015020,0
C0039542_C3537278,0
C0039542_C0039543,0
C0039543_C0015020,0
C0039543_C3537278,0
C0039543_C0039542,0
C0043031_C4292380,0
C0043031_C0297960,4
C4292380_C0043031,0
C4292380_C0297960,4
C0297960_C0043031,0
C0297960_C4292380,0
C0076836_C1698364,0
C1698364_C0076836,0
C0010467_C1698364,0
C1698364_C0010467,0
C3818721_C0063322,0
C0063322_C3818721,0
C0016280_C3658706,0
C3658706_C0016280,0
C0055723_C0886706,0
C0055723_C2930490,0
C0886706_C0055723,0
C0886706_C2930490,0
C2930490_C0055723,0
C2930490_C0886706,0
C0020823_C0666743,0
C0666743_C0020823,5
C0913469_C0045093,0
C0045093_C0913469,0
C0042682_C0078049,0
C0042682_C1372952,0
C0078049_C0042682,0
C0078049_C1372952,0
C1372952_C0042682,0
C1372952_C0078049,0
C3818721_C2703138,0
C2703138_C3818721,0
C0034403_C0532362,0
C0532362_C0034403,0
C0144576_C0678133,0
C0144576_C0082966,0
C0678133_C0144576,0
C0678133_C0082966,0
C0082966_C0144576,0
C0082966_C0678133,0
C0297960_C0022635,0
C0022635_C0297960,0
C3818721_C0076959,0
C3818721_C1519641,0
C0076959_C3818721,0
C0076959_C1519641,0
C1519641_C3818721,0
C1519641_C0076959,0
C2930490_C2742502,0
C2742502_C2930490,0
C0070895_C0376236,0
C0070895_C0281603,0
C0376236_C0070895,0
C0376236_C0281603,0
C0281603_C0070895,0
C0281603_C0376236,0
C0244748_C0950651,0
C0244748_C0146224,0
C0950651_C0244748,0
C0950651_C0146224,0
C0146224_C0244748,0
C0146224_C0950651,0
C0002333_C1135174,0
C1135174_C0002333,0
C0074554_C2352806,0
C2352806_C0074554,0
C0093999_C0016295,0
C0093999_C3885487,0
C0016295_C0093999,0
C0016295_C3885487,0
C3885487_C0093999,0
C3885487_C0016295,0
C1098320_C2974289,0
C2974289_C1098320,0
C0877880_C1272713,0
C0877880_C4256155,0
C0877880_C0281603,0
C1272713_C0877880,0
C1272713_C4256155,0
C1272713_C0281603,0
C4256155_C0877880,0
C4256155_C1272713,0
C4256155_C0281603,0
C0281603_C0877880,0
C0281603_C1272713,0
C0281603_C4256155,0
C0034239_C4256107,0
C0034239_C2352806,0
C4256107_C0034239,0
C4256107_C2352806,0
C2352806_C0034239,0
C2352806_C4256107,0
C0009010_C2352806,0
C2352806_C0009010,0
C0008318_C1698364,0
C1698364_C0008318,0
C0039771_C0304441,0
